,team,player,position,to,hall_of_fame,all_pro,pro_bowl,starter,carAV,drAV,games,pass_comp,pass_att,pass_yards,pass_tds,pass_int,rush_att,rush_yards,rush_tds,receptions,rec_yards,rec_tds,interceptions,sacks,tackles
8688,RAI,Greg Robinson,RB,1996.0,False,0,0,1,7.0,5.0,28.0,0.0,0.0,0.0,0.0,0.0,228.0,890.0,2.0,18.0,160.0,0.0,0.0,0.0,0.0
8689,RAM,Maa Tanuvasa,DE,2001.0,False,0,0,3,28.0,18.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,130.0
8690,DEN,Brian Stablein,WR,2000.0,False,0,0,0,6.0,2.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,792.0,3.0,0.0,0.0,0.0
8692,WAS,Lamont Hollinquest,LB,1998.0,False,0,0,0,6.0,2.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
8693,DAL,Reggie Givens,LB,2000.0,False,0,0,0,3.0,3.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8694,HOU,Blaine Bishop,DB,2002.0,False,0,4,8,63.0,60.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,483.0
8695,PHO,Stevie Anderson,WR,1996.0,False,0,0,0,2.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,188.0,1.0,0.0,0.0,0.0
8696,PIT,Alex Van Pelt,QB,2003.0,False,0,0,0,7.0,2.0,31.0,262.0,477.0,2985.0,16.0,24.0,32.0,53.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8697,PHI,Doug Skene,G,1994.0,False,0,0,0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8698,MIA,Dwayne Gordon,LB,2000.0,False,0,0,1,17.0,9.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,92.0
8699,SFO,Elvis Grbac,QB,2001.0,False,0,1,4,46.0,8.0,105.0,1446.0,2445.0,16774.0,99.0,81.0,163.0,388.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8701,NOR,Jon Kirksey,DT,1996.0,False,0,0,0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8702,SDG,Trent Green,QB,2008.0,False,0,2,7,94.0,52.0,120.0,2266.0,3740.0,28475.0,162.0,114.0,243.0,914.0,6.0,3.0,-7.0,0.0,0.0,0.0,0.0
8705,CIN,Dan Wilkinson,DT,2006.0,False,0,0,12,59.0,15.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,54.0,302.0
8706,IND,Marshall Faulk,RB,2005.0,True,3,7,11,133.0,52.0,176.0,0.0,2.0,0.0,0.0,0.0,2836.0,12279.0,100.0,767.0,6875.0,36.0,0.0,0.0,0.0
